id,latitude,longitude,municipality,address,city,state,zip_code
71,38.69258924,-90.29618745,Velda City,2560 Lucas & Hunt Road,St. Louis,MO,63121
72,38.69312888,-90.28588658,Velda Village Hills,3501 Avondale Avenue,St. Louis,MO,63121
73,38.69556481,-90.33883384,Vinita Park,8374 Midland Boulevard,St. Louis,MO,63114
74,38.68358813,-90.32986256,Vinita Terrace,8027 Page Boulevard,St. Louis,MO,63130
75,38.60313788,-90.38556887,Warson Woods,10015 Manchester Road,St. Louis,MO,63122
76,38.58883088,-90.34656765,Webster Groves,4 Lockwood Aveue,St. Louis,MO,63119
77,38.67538348,-90.28923273,Wellston,1414 Evergreen,St. Louis,MO,63133
78,38.58090325,-90.63089227,Wildwood,16860 Main Street,St. Louis,MO,63040
79,38.592682,-90.52712599,Winchester,109 Lindy Boulevard,St. Louis,MO,63021
80,38.72808378,-90.35789852,Woodson Terrace,4323 Woodson Road,St. Louis,MO,63134
81,38.64893351,-90.33859257,Unincorporated Central St. Louis County,7900 Carondelet Avenue,St. Louis,MO,63105
82,38.627512,-90.58024738,Unincorporated West St. Louis County,82 Clarkson Wilson Centre,St. Louis,MO,63017
83,38.78155359,-90.35911603,Unincorporated North St. Louis County,21 Village Square,St. Louis,MO,63042
84,38.49676468,-90.33667373,Unincorporated South St. Louis County,4544 Lemay Ferry Road,St. Louis,MO,63129
